1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,10,10,10,10,10,10,10,7,10,10,10,7,10,10,10,10,10,10,1
1,10,10,10,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1
1,10,10,4,10,10,10,6,10,10,10,10,10,10,10,10,6,10,10,1
1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1
1,10,10,10,10,10,10,10,4,10,10,4,10,10,10,10,10,10,10,1
1,10,10,10,10,6,10,4,10,10,4,10,10,10,10,10,10,10,10,1
1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1
1,10,7,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,1
1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
1,10,10,10,10,10,10,10,1,10,5,10,10,10,10,10,10,10,10,1
1,10,10,10,10,10,10,10,1,10,10,5,10,10,9,10,8,8,10,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
